                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9182,                 4.9254,                 4.0652,                0.00018,                0.01852,                 0.0001,                  3e-05,                  3.698,                 5.0947,                 4.2424,             0.00054889,             0.00054889,             0.00054889
                      2,                 2.8881,                 3.9207,                 3.0974,                 0.1227,                0.19388,                0.07765,                0.03208,                 2.3049,                 6.0309,                 2.8132,              0.0010608,              0.0010608,              0.0010608
                      3,                 2.5933,                 3.1178,                 2.6226,                0.24012,                0.24158,                 0.1742,                0.07257,                  2.055,                 3.3614,                 2.4477,              0.0015287,              0.0015287,              0.0015287
                      4,                 2.3778,                 2.8139,                 2.4112,                0.26198,                0.41695,                0.20667,                0.08199,                 2.0266,                 3.0012,                 2.2967,               0.001469,               0.001469,               0.001469
                      5,                 2.2601,                 2.4892,                 2.2795,                0.40471,                0.27433,                0.27031,                 0.1097,                 2.0696,                 2.6431,                 2.3657,               0.001469,               0.001469,               0.001469
                      6,                 2.1632,                 2.3105,                 2.1535,                0.46477,                0.33081,                0.33246,                0.15286,                 1.9612,                 2.2588,                 2.1783,              0.0014029,              0.0014029,              0.0014029
                      7,                 2.0791,                 2.1414,                 2.1084,                0.39357,                 0.4225,                0.35795,                0.17768,                 1.7529,                 2.0984,                 2.0201,              0.0013369,              0.0013369,              0.0013369
                      8,                 2.0399,                 2.1284,                 2.0832,                0.54143,                0.49551,                0.44057,                  0.215,                 1.6718,                 1.8711,                 1.9662,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.9944,                 1.9574,                 2.0199,                0.41606,                0.48878,                0.44391,                0.20233,                 1.8821,                 1.9577,                 2.0637,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.9494,                 1.8999,                  1.982,                0.52331,                0.54153,                0.46044,                0.22003,                 1.7472,                 1.8323,                 1.9956,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.9435,                 1.8764,                  1.944,                 0.5029,                 0.5867,                0.49714,                0.24571,                 1.7232,                 1.7412,                 1.9856,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.8946,                 1.8048,                 1.9242,                0.56963,                0.56453,                0.53334,                0.27732,                 1.6648,                 1.5487,                 1.9386,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.8391,                 1.6596,                 1.8893,                0.52807,                0.49186,                 0.5063,                0.25262,                 1.7265,                 1.5779,                 1.9313,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.8085,                 1.6503,                 1.8789,                0.58209,                0.60718,                0.57695,                0.29793,                 1.6022,                 1.4023,                 1.8424,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.8171,                 1.5934,                 1.8647,                0.49145,                0.63468,                0.54457,                0.28916,                 1.6396,                 1.3783,                 1.8965,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.7619,                 1.5584,                 1.9079,                0.57309,                0.63047,                0.57181,                0.30224,                 1.5972,                 1.4352,                  1.841,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.6864,                  1.457,                 1.8551,                0.64432,                0.65123,                0.60352,                0.31611,                 1.5534,                 1.3935,                 1.8464,              0.0006768,              0.0006768,              0.0006768
                     18,                  1.649,                 1.4122,                 1.8276,                0.58509,                0.63805,                 0.6023,                0.31471,                  1.592,                 1.3331,                 1.8331,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.6473,                 1.3772,                 1.8053,                0.64511,                0.60466,                0.61684,                  0.324,                 1.5849,                 1.2811,                 1.8198,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.6201,                 1.3256,                 1.8036,                0.65112,                0.63159,                 0.6309,                 0.3225,                 1.6583,                 1.2693,                 1.8717,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.6093,                  1.316,                 1.7759,                0.63622,                0.63308,                0.60678,                0.31849,                 1.6279,                 1.3357,                 1.8597,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.5887,                 1.2738,                 1.7663,                0.60918,                 0.6821,                0.61755,                0.33529,                 1.5708,                 1.3153,                 1.8235,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.5694,                 1.2493,                 1.7593,                0.66289,                0.66594,                0.64617,                0.35747,                 1.5479,                 1.1936,                 1.7957,             0.00028072,             0.00028072,             0.00028072
                     24,                  1.536,                 1.1817,                 1.7132,                 0.6632,                0.66343,                0.64209,                0.35615,                 1.5268,                 1.1562,                 1.7734,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.5196,                 1.1559,                 1.7092,                0.63366,                0.70623,                0.65985,                0.35574,                 1.5598,                 1.1565,                 1.8057,              0.0001487,              0.0001487,              0.0001487
